Sample	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	stringsAsFactor
TCGA-86-8674-01A	0.136925885981587	0	0.121860181215564	0.0263366995039437	0	0.0948255541559217	0	0.11058373678281	0.0235880968572891	0	0.0185305691646079	0.0154040129764326	0	0.262700728855654	0	0.0730265964112639	0	0.105945159369829	0.010272778725098	0	0	0	0.01	0.309034448607763	0.962607712909678	FALSE
TCGA-97-A4M1-01A	0.0411487254381998	0	0	0.0380498818007116	0	0.179652892005029	0	0.003538487957085	0	0	0.0161538078801577	0.0258466447328048	0.0852477784488595	0.204811192362013	0.00822045426991413	0.216929255523754	0.01400137181485	0.0181078751447128	0.148291632621908	0	0	0	0.03	0.191566814418191	1.00640097167929	FALSE
TCGA-49-AARO-01A	0.186294833728321	0	0.0290479775884025	0.0198686642420378	0	0.198552141804481	0	0.018994845270498	0.00884932431207295	0	0.031567832081799	0.0209568332710513	0.0331415879651548	0.212770311148406	0.0143712483247032	0.134425821910344	0.0317820571933442	0.0593765211593852	0	0	0	0	0.01	0.368888297949821	0.930793122206575	FALSE
TCGA-91-6831-01A	0	0.0102382886708391	0.0423007891154834	0.0306815412708194	0	0.262537721706143	0	0	0	0	0.0633338380572403	0	0.00400692759513586	0.287903600425032	0.119670390231022	0.136127121318447	0	0	0.0291419698868728	0	0	0.0140578117229644	0.15	0.0746328048865756	1.07026734754698	FALSE
TCGA-55-6642-01A	0	0.0132262155508977	0.237305745736265	0.0620361418863848	0	0.197373601883581	0.0814701751410691	0	0	0	0.0521289756318977	0	0	0.16091757659736	0.0220193182933495	0.116551164886814	0	0.0243689632752775	0.031967946718704	0	0	0.000634174398399183	0.01	0.373726720257678	0.932052793511744	FALSE
TCGA-86-8056-01A	0.183916401700596	0	0.0196096337901189	0.0302920304750575	0	0.27448055499993	0	0	0	0	0.0117812732210096	0.0138555188520228	0.0364247629035506	0.100231187242434	0.0303199846049153	0.175740010833617	0.0203518247381014	0.0184755300294825	0.0737495186048966	0	0	0.0107717680042682	0.02	0.238894545625876	0.984199181102186	FALSE
TCGA-L9-A5IP-01A	0.145897245777102	0	0.233448709565965	0.0249033389937681	0	0.0720626553337548	0.0107310133905025	0.104989404195882	0.0384808692386811	0	0.000511080851511663	0.0328244909010685	0.00483277173176151	0.108787983186194	0.0138362854401382	0.0668180592649886	0	0.0275521138328039	0	0.00520400822864183	0.0423089867696986	0.0668109832975378	0	0.420555228391998	0.911908982595331	FALSE
TCGA-97-7546-01A	0.0544499406474074	0.0187952868515037	0.00648993556271568	0.0054615716470909	0	0.396416544890674	0.000820387860654519	0	0	0	0.0641039680416596	0	0.0654754629724687	0.0394561888860958	0.0697585422449708	0.181501861124319	0.0045470696730813	0.0334017706547109	0.0566598670893384	0	0	0.00266160185330958	0.13	0.0785748985858439	1.05072896676987	FALSE
TCGA-97-7547-01A	0.184804151730362	0	0.046527107332916	0.116782457132883	0	0.240197044179858	0	0	0.00100801856593089	0	0	0	0.0469630946956463	0.107625893952054	0.0279822915973773	0.141912806873981	0	0.00263576043575495	0.0835613735032374	0	0	0	0.01	0.294804848521351	0.963320568671561	FALSE
TCGA-NJ-A55O-01A	0.183526080058818	0	0.0140300799020704	0.0728728629807301	0	0.188655947681146	0	0.0233236802510895	0.00332541970647063	0	0	0.045295386279134	0.0351056384080095	0.103974520901738	0.00878886193331614	0.240862156805424	0	0.0441523855879898	0.0311935077829773	0	0.0048934717210861	0	0.01	0.283603562187528	0.96738514861513	FALSE
TCGA-55-7914-01A	0.127352075021932	0	0.198566593677708	0.049779919116894	0	0.275829421030365	0.0116250572030765	0.0116999813769832	0.0243394974420865	0	0.0318002146433867	0	0.00656349444471183	0.0336555531390946	0.048933120801718	0.0995371913396529	0	0.0455806311210232	0.0347372496413684	0	0	0	0	0.389694944549415	0.925959889183152	FALSE
TCGA-78-7143-01A	0.0654218033482697	0.000169268768710884	0	0.0106381758305173	0	0.293774175819083	0	0.0168684195110713	0.00480461397419749	0	0.021638298638074	0	0.0560827247504294	0.0429881764880921	0.0102126801147173	0.254259649731685	0.0893055676071946	0.0992160704852362	0.0346203749327216	0	0	0	0.02	0.228398142764289	0.987759907183314	FALSE
TCGA-55-8205-01A	0.0773608339560997	0	0.019092691248331	0.0980746245157233	0	0.214276165866664	0.0268262223504334	0.0195834149478493	0	0	0.0109447191997141	0.0146413914739899	0.0381284596122708	0.0694367638222919	0.103519721562551	0.283507587016063	0.00473639296467066	0	0.019518072913109	0	0	0.000352938550239445	0.02	0.266478094655777	0.975437005755428	FALSE
TCGA-05-4415-01A	0.0990243780930025	0	0.0727211748760023	0.113982003576968	0	0.17624402905681	0.085742840186277	0.043649277169314	0	0	0.0789732442767439	0.00299279626429337	0.0127607193549593	0.0691968609143233	0.0547146860844575	0.0989383801331012	0	0.0457323656662665	0.0266783909246169	0	0	0.0186488534228642	0.02	0.270269488486588	0.973066572713276	FALSE
TCGA-86-8358-01A	0.222353665700315	0	0.115067344046359	0.0456178644969183	0	0.162118662507204	0	0.0341243417275458	0.000205218163847324	0	0.0390819632008169	0.019026559594812	0	0.148588698303299	0.0341742481357422	0.179641434123139	0	0	0	0	0	0	0	0.403513185604192	0.917044155752357	FALSE
TCGA-91-6847-01A	0.0199579025895644	0	0.000404995940745396	0.0885835865877093	0	0.244981690549906	0	0.0397074850876609	0.00317777589175226	0	0	0.0588713712722203	0.0557913353497011	0.158225374095211	0.0861281108821861	0.0379499464040554	0.00833925313295809	0	0.18906750736088	0	0.00450927104454913	0.00430439381090019	0.96	-0.0345471975269746	1.09953219989611	FALSE
TCGA-86-8585-01A	0.0599120222647482	0.0209651009613461	0	0.110111704121535	0	0.215829020397434	0.0147940327669726	0	0.00219380224202139	0	0.00431811999164296	0.0315399126187977	0.00688484829687734	0.305574244574479	0.0760299112348612	0.112337880711418	0	0	0.0395093998178665	0	0	0	0.03	0.177212090669323	1.02322342271971	FALSE
TCGA-55-8203-01A	0.273585979596081	0	0.137070053120549	0.115769814948608	0	0.165126697466977	0.0106001859235786	0.0227242851526603	0.040251908514708	0	0	0.00752794305860447	0	0.119065001276377	0.0371804996990872	0.0333607668191512	0.014045796311541	0.00679096653991476	0	0.0127100766233304	0	0.00419002494883222	0	0.538282636278015	0.84199372894204	FALSE
TCGA-71-6725-01A	0.118649254355132	0	0.0191813477937735	0	0	0.28342838496768	0	0.0212344838389891	0.00119268285174877	0	0	0.0178110905413285	0.0894671808776943	0.0657814062912223	0.00356696017591352	0.22045763669233	0	0.0872452144328998	0.0406330440821968	0	0	0.0313513130990925	0.04	0.115487230520317	1.03112821054177	FALSE
